Title,link_url,institute,author,language,description,date,tags,ratings,votes
The Science of Health Care Delivery (Coursera) More Info,https://www.mooc-list.com/course/science-health-care-delivery-coursera https://www.mooc-list.com/course/science-health-care-delivery-coursera,Arizona State University,Coursera,English,"This course explores why the Science for Health Care Delivery is critically important for the next generation of health care professionals. By the end of this introductory course, learners will recognize how education in the Science of Health Care Delivery changes provider care, improves the patient experience, and enhances the quality of patient health and health care.",Feb 23rd 2019,"Healthcare,  Healthcare Delivery,  Health,  Patient,  Patient Care",Average: 4.4,(10 votes)
Environmental Protection and Sustainability (edX) More Info,https://www.mooc-list.com/course/environmental-protection-and-sustainability-edx https://www.mooc-list.com/course/environmental-protection-and-sustainability-edx,IsraelX,EdX,English,"Uncover better solutions to help manage a wide range of environmental problems and challenges facing our world today. Do you want to understand more about the environmental problems we currently face? Do you want to learn ways we can reduce the negative effects of these problems, and keep our environment more sustainable? If so, this course is for you.",Self Paced,"Environment,  Sustainability,  Environmental Protection,  Sustainable Environments,  Biodiversity,  Pollution,  Air Quality,  Water Quality,  Urban Sustainability,  Global Sustainability",Average: 3.5,(2 votes)
Optimal Stopping Problems (IST) More Info,https://www.mooc-list.com/course/optimal-stopping-problems-ist https://www.mooc-list.com/course/optimal-stopping-problems-ist,"Instituto Superior Técnico, Universidade de Lisboa",MOOC Técnico,English,"This course address problems of optimal stopping, namely in financial applications, presenting one of the most used methodology: the Hamilton-Jacobi-Bellman equations.",Feb 24th 2019,"Math,  Optimal Stopping,  Hamilton-Jacobi-Bellman Equations,  HJB Equations,  Differential Equations",Average: 8,(1 vote)
Health Informatics for better and safer healthcare (edX) More Info,https://www.mooc-list.com/course/health-informatics-better-and-safer-healthcare-edx https://www.mooc-list.com/course/health-informatics-better-and-safer-healthcare-edx,IsraelX,EdX,English,"Learn when and how Informatics is used in different fields of healthcare, what the benefits are and the challenges that still lie ahead. Healthcare providers around the globe (e.g., doctors, nurses, physical or occupational therapists, etc.) are increasingly relying on health information technology, like electronic health records, for their daily routine tasks. Although using health information technology holds tremendous promises (like personalized and precision medicine to all) it can also result in unforeseen consequences leading to patients’ harm.",Feb 24th 2019,"Health Informatics,  Health,  Healthcare,  Health Information Technology",,
"eHealth: Combining Psychology, Technology and Health (FutureLearn) More Info",https://www.mooc-list.com/course/ehealth-combining-psychology-technology-and-health-futurelearn https://www.mooc-list.com/course/ehealth-combining-psychology-technology-and-health-futurelearn,University of Twente,FutureLearn,English,"How can technology make you healthy? Learn about the design, application, implementation and evaluation of eHealth. eHealth refers to the use of technologies to improve well-being, health, and healthcare. It is an umbrella term that captures concepts about the health context, technology, and people. In this free online course, we will provide you with insight into the domain of eHealth, describe methods to develop eHealth, and explain theories that enable behaviour change and facilitate implementation.",Feb 25th 2019,"eHealth,  Health,  Psychology,  Technology,  Wellbeing",Average: 5.9,(9 votes)
English Grammar and Style (edX) More Info,https://www.mooc-list.com/course/english-grammar-and-style-edx https://www.mooc-list.com/course/english-grammar-and-style-edx,"University of Queensland,  UQx",EdX,English,"Learn key concepts and strategies in grammar and style to help enhance your writing and confidently respond to the demand of high levels of literacy in the 21st century. With the rise of social media and the Internet, many people are writing more today for different mediums than ever before. We’ll present materials that cover grammatical principles, word usage, writing style, sentence and paragraph structure, and punctuation.",Feb 25th 2019,"English,  Writing Strategies,  Writing,  English Grammar,  Language",Average: 6.6,(16 votes)
Making Babies in the 21st Century (FutureLearn) More Info,https://www.mooc-list.com/course/making-babies-21st-century-futurelearn https://www.mooc-list.com/course/making-babies-21st-century-futurelearn,University College London,FutureLearn,English,"Explores the new reproductive technologies, the opportunities they provide, and the profound social challenges they pose. This course looks at six different areas of assisted reproduction and explores both the science and the impact they are having. The course is structured as a journey, taking as its starting point a person or couple wanting to conceive and using these types of technologies to who want to make a baby but can’t do so , due to their infertility, advanced age, sexuality or lack of partner.",Feb 25th 2019,"Fertility,  Reproductive Technology,  Assisted Reproduction,  Ethics,  Infertility",Average: 4,(1 vote)
Working in Teams: A Practical Guide (edX) More Info,https://www.mooc-list.com/course/working-teams-practical-guide-edx https://www.mooc-list.com/course/working-teams-practical-guide-edx,"University of Queensland,  UQx",EdX,English,"Learn how to build effective teams, be a great team player and manage team conflict. Teamwork is an essential component of most professional activities in the modern world. But what makes an effective team? This course is an introduction to teamwork skills for all disciplines that will help you improve your own performance and that of your team.",Self Paced,"Teamwork,  Team Management,  Effective Team,  Team Conflict,  Leadership,  Communication",Average: 2,(4 votes)
Les fondamentaux de la fonction publique territoriale (FUN) More Info,https://www.mooc-list.com/course/les-fondamentaux-de-la-fonction-publique-territoriale-fun https://www.mooc-list.com/course/les-fondamentaux-de-la-fonction-publique-territoriale-fun,Centre National de la Fonction Publique Territoriale (CNFPT),FUN,French,"Instituée en 1984, la fonction publique territoriale constitue le troisième versant de la fonction publique au côté de la fonction publique de l’Etat et de la fonction publique hospitalière. Comptant plus de 1,8 million d'agents, elle représente plus du tiers de l'ensemble des fonctionnaires.",Feb 25th 2019,"Local Government,  Local Government Service,  Territorial Public Service",Average: 8.8,(5 votes)
Environmental Challenges: Hierarchy in Property Rights (FutureLearn) More Info,https://www.mooc-list.com/course/environmental-challenges-hierarchy-property-rights-futurelearn https://www.mooc-list.com/course/environmental-challenges-hierarchy-property-rights-futurelearn,University of Leeds,FutureLearn,English,How does language help us develop our relationship with nature and determine the rights of access and ownership? Increasing populations and social changes are pressurising our relationship with the environment. Property rights are embedded in power structures and land management. This course explores the different ways that nature is perceived by different types of societies and the impact of property rights on natural resource management.,Feb 25th 2019,"Environmental Challenges,  Property Rights,  Environment",Average: 10,(2 votes)
Teaching STEM Subjects: Differentiation for Learning (FutureLearn) More Info,https://www.mooc-list.com/course/teaching-stem-subjects-differentiation-learning-futurelearn https://www.mooc-list.com/course/teaching-stem-subjects-differentiation-learning-futurelearn,National STEM Learning Centre,FutureLearn,English,"Improve your teaching by developing how you provide differentiated learning opportunities for all your students. Learn effective differentiation for learning to enable all students to progress. Every student is different, entering classrooms with varying ideas and understanding. This course will help you improve your understanding and use of differentiating for learning within science, technology, engineering, computing and maths.",Feb 25th 2019,"STEM Teaching,  Differentiating,  Learning,  DfL,  Teaching",Average: 7.7,(6 votes)
Discovering Science: Global Challenges (FutureLearn) More Info,https://www.mooc-list.com/course/discovering-science-global-challenges-futurelearn https://www.mooc-list.com/course/discovering-science-global-challenges-futurelearn,University of Leeds,FutureLearn,English,"Can chemistry help to feed a growing population, or overcome increasing bacterial resistance? Find out how the Penicillin class of antibiotics has been a major breakthrough in the treatment of patients. However, with bacteria developing efficient ways of resisting antibiotic treatment, discover how scientists are treating patients with infections resulting from resistant bacteria.",Feb 25th 2019,"Discovering Science Program,  Global Challenge,  Chemistry,  Science,  Bacterial Resistance,  Global Food Security,  Food Security",,
Practical Approaching to Computational Algebra (Computation with Python) (Miríada X) Mar 1st 2019 More Info,https://www.mooc-list.com/course/practical-approaching-computational-algebra-computation-python-miriada-x undefined https://www.mooc-list.com/course/practical-approaching-computational-algebra-computation-python-miriada-x,Universidad de Cádiz,Miríada X,"English,  Spanish","Introducimos el Álgebra Computacional desde un punto de vista práctico mostrando su aplicabilidad. Damos herramientas matemáticas para el estudio y resolución de sistemas polinomiales, y sistemas diofánticos con soluciones enteras positivas. / We introduce Computational Algebra from a practical point of view showing its applicability. We give mathematical tools for the study and resolution of polynomial systems, and diophantine systems with positive integer solutions.",Mar 1st 2019,"Computational Algebra,  Polynomial Systems,  Algorithms,  Python,  Programming",,
Fortalecimiento efectivo y saludable de la musculatura abdominal y lumbar (Miríada X) Feb 25th 2019 More Info,https://www.mooc-list.com/course/fortalecimiento-efectivo-y-saludable-de-la-musculatura-abdominal-y-lumbar-miriada-x undefined https://www.mooc-list.com/course/fortalecimiento-efectivo-y-saludable-de-la-musculatura-abdominal-y-lumbar-miriada-x,Universidad de Murcia,Miríada X,Spanish,"Para fortalecer la musculatura abdominal y lumbar de forma efectiva y saludable, es preciso seleccionar los ejercicios en función de las capacidades y motivaciones de cada persona. Conocer las características y efectos de cada ejercicio, permitirá elegir aquellos mas adecuados, así como evitar los más problemáticos. De este modo, podremos mejorar la salud de nuestra columna vertebral.",Feb 25th 2019,"Health,  Abdominal Muscles,  Lumbar Muscles,  Physical Exercise,  Muscle Strength",,
Reservoir Simulation (Miríada X) Feb 25th 2019 More Info,https://www.mooc-list.com/course/reservoir-simulation-miriada-x undefined https://www.mooc-list.com/course/reservoir-simulation-miriada-x,Universidad Politécnica de Madrid,Miríada X,English,"Oil and gas reservoir modelling needs two types of data. Those that permit to define the static model (core, well logs and seismic interpretation) and those that allow to define the dynamic model (pressure evolution, fluid production, boundary conditions). In this MOOC we will focus on the dynamic model.",Feb 25th 2019,"Reservoirs,  Oil Reservoirs,  Gas Reservoirs,  Dynamic Models",,
Habilidades para el Empleo. ¡Marca la diferencia en tu carrera profesional! (Miríada X) Feb 25th 2019 More Info,https://www.mooc-list.com/course/habilidades-para-el-empleo-%C2%A1marca-la-diferencia-en-tu-carrera-profesional-mir%C3%ADada-x undefined https://www.mooc-list.com/course/habilidades-para-el-empleo-%C2%A1marca-la-diferencia-en-tu-carrera-profesional-mir%C3%ADada-x,Universitas Telefónica,Miríada X,Spanish,"Este curso está diseñado tanto para profesionales que busquen mejorar su perfil como candidatos en su búsqueda de empleo, o incluso para aquellos trabajadores en activo que deseen mejorar su desempeño a través del desarrollo de habilidades que denominamos ""transversales"". Se trata de aprender las destrezas necesarias aplicables a cualquier tipo de profesión y, en muchos casos, resultan ser el punto de diferenciación entre candidatos e incluso la clave de nuestros avances en nuestra carrera profesional. ¡Aprovecha la oportunidad!",Feb 25th 2019,"Job Skills,  Employment,  Employability,  Job Search",,
Conceptos Básicos de Estática: Análisis de Cuerpos Rígidos (Miríada X) Feb 25th 2019 More Info,https://www.mooc-list.com/course/conceptos-basicos-de-estatica-analisis-de-cuerpos-rigidos-miriada-x undefined https://www.mooc-list.com/course/conceptos-basicos-de-estatica-analisis-de-cuerpos-rigidos-miriada-x,Universidad EAFIT,Miríada X,Spanish,"La Estática es la conjunción de la Física y las Matemáticas para solucionar problemas de la naturaleza con base en ecuaciones simples. Es una parte de la Mecánica Clásica en lo que se refiere a los cuerpos indeformables que además carecen de movimiento espacial o que se mueven con velocidad constante. En el curso conceptos básicos de Estática: Análisis de Cuerpos Rígidos, el estudiante logrará: Determinar los momentos originados por fuerzas aplicadas en un cuerpo rígido, deducir a partir de un sistema de fuerzas el sistema equivalente fuerza momento, definir de una forma clara el diagrama de cuerpo libre de fuerzas y momentos aplicados en un cuerpo rígido, y analizar a partir de las leyes de Newton el equilibrio de fuerzas y momentos en un cuerpo rígido.",Feb 25th 2019,"Static,  Physics,  Math,  Mathematics,  Classical Mechanics",,
M103: Basic Cluster Administration (MongoDB) Mar 12th 2019 More Info,https://www.mooc-list.com/course/m103-basic-cluster-administration-mongodb undefined https://www.mooc-list.com/course/m103-basic-cluster-administration-mongodb,MongoDB University,MongoDB,English,Learn the essentials of database administration in MongoDB. This course will provide you with the tools and insight to administer basic MongoDB deployments with confidence.,Mar 12th 2019,"MongoDB,  Replication,  Sharding,  Databases,  MongoDB Clusters",Average: 1,(3 votes)
M121: The MongoDB Aggregation Framework (MongoDB) Mar 12th 2019 More Info,https://www.mooc-list.com/course/m121-mongodb-aggregation-framework-mongodb undefined https://www.mooc-list.com/course/m121-mongodb-aggregation-framework-mongodb,MongoDB University,MongoDB,English,Learn how to use MongoDB's Aggregation Framework. This course will provide you with the knowledge to use MongoDB Aggregation Framework with confidence on your application development practices.,Mar 12th 2019,"MongoDB,  Aggregation Framework,  MongoDB Aggregation Framework,  Aggregation",Average: 2,(3 votes)
M201: MongoDB Performance (MongoDB) Mar 12th 2019 More Info,https://www.mooc-list.com/course/m201-mongodb-performance-mongodb undefined https://www.mooc-list.com/course/m201-mongodb-performance-mongodb,MongoDB University,MongoDB,English,Learn how to optimize the performance of your MongoDB deployment. This course will cover how to use best practices for achieving performance at scale in a MongoDB system.,Mar 12th 2019,"MongoDB,  MongoDB Performance,  MongoDB Deployments",Average: 5,(7 votes)
M220J: MongoDB for Java Developers (MongoDB) Mar 12th 2019 More Info,https://www.mooc-list.com/course/m220j-mongodb-java-developers-mongodb undefined https://www.mooc-list.com/course/m220j-mongodb-java-developers-mongodb,MongoDB University,MongoDB,English,"Learn the essentials of Java application development with MongoDB. This course will teach you how to use MongoDB as the database for a Java application. You'll play the role of a back-end developer for a Java application, and your job is to implement the application's communication with MongoDB.",Mar 12th 2019,"Java,  MongoDB,  Databases,  Programming,  Developer,  NoSQL",Average: 6.1,(14 votes)
M220JS: MongoDB for Javascript Developers (MongoDB) Mar 12th 2019 More Info,https://www.mooc-list.com/course/m220js-mongodb-javascript-developers-mongodb undefined https://www.mooc-list.com/course/m220js-mongodb-javascript-developers-mongodb,MongoDB University,MongoDB,English,"Learn the essentials of Node.js application development with MongoDB. This course will teach you how to use MongoDB as the database for a Node.js application. You'll play the role of a back-end developer for a Node.js application, and your job is to implement the application's communication with MongoDB.",Mar 12th 2019,"MongoDB,  Javascript,  Node.js,  MFlix",Average: 3.9,(16 votes)
M220P: MongoDB for Python Developers (MongoDB) Mar 12th 2019 More Info,https://www.mooc-list.com/course/m220p-mongodb-python-developers-mongodb undefined https://www.mooc-list.com/course/m220p-mongodb-python-developers-mongodb,MongoDB University,MongoDB,English,Learn the essentials of Python application development with MongoDB. This course will teach you how to use MongoDB as the database for a Python application.,Mar 12th 2019,"MongoDB,  Python,  Python Programming,  Applications Development",,
M310: MongoDB Security (MongoDB) Mar 12th 2019 More Info,https://www.mooc-list.com/course/m310-mongodb-security-mongodb undefined https://www.mooc-list.com/course/m310-mongodb-security-mongodb,MongoDB University,MongoDB,English,Learn how to use MongoDB's native and third-party integration security features and resources. This course will provide you with the knowledge to create secured deployments of MongoDB for production-ready environments.,Mar 12th 2019,"Security,  MongoDB Security,  MongoDB",Average: 5.6,(9 votes)
Introduction aux ressources minérales : un enjeu pour la planète (FUN) More Info,https://www.mooc-list.com/course/introduction-aux-ressources-min%C3%A9rales-un-enjeu-pour-la-plan%C3%A8te-fun https://www.mooc-list.com/course/introduction-aux-ressources-min%C3%A9rales-un-enjeu-pour-la-plan%C3%A8te-fun,Institut Mines-Telecom,FUN,French,"Les besoins en matières premières minérales sont croissants et de plus en plus diversifiés ! Alors que la mine s’est longtemps imposée à son territoire, elle doit donc désormais composer avec lui. L’industrie extractive et de première transformation est fortement sollicitée pour y subvenir. Créatrice de richesses mais parfois source de bouleversements, elle a la capacité d’influer fortement sur les trajectoires de développement des territoires. Son impact environnemental et sociétal peut être considérable et ses traces difficiles à effacer même longtemps après la fermeture des installations.",Feb 25th 2019,"Minerals
,  Mineral Resources
,  Mineral Industry
,  Mining Industry
,  Mining",Average: 4,(1 vote)
Introduction to R for Data Science (FutureLearn) More Info,https://www.mooc-list.com/course/introduction-r-data-science-futurelearn https://www.mooc-list.com/course/introduction-r-data-science-futurelearn,Purdue University,FutureLearn,English,Work with airline data to learn the fundamentals of the R platform. We live in a data-driven world. This course is relevant to learners who are interested in analyzing data that is pervasive across disciplines. Have you ever wondered how data-driven decisions are made across airlines? This course will use airline data to demonstrate key concepts involved in the analysis of big data.,Feb 25th 2019,"Programming
,  Data Science
,  R Programming
,  R Language
,  Big Data",Average: 10,(1 vote)
Les pouvoirs de police du maire (FUN) More Info,https://www.mooc-list.com/course/les-pouvoirs-de-police-du-maire-fun https://www.mooc-list.com/course/les-pouvoirs-de-police-du-maire-fun,Centre National de la Fonction Publique Territoriale (CNFPT),FUN,French,"Les interventions du maire en matière de police, doivent respecter certains principes. Ce MOOC intitulé « Les pouvoirs de police du maire », a pour objet de présenter, de façon didactique, les principes d’exercice et d’application du pouvoir de police du maire, et les liens qu’il est nécessaire de créer pour garantir une cohérence entre décisions et exécution des mesures de police.",Feb 25th 2019,"Politics
,  Police
,  Police Powers
,  Security
,  Mayor",,
La Reforma Energética de México y sus oportunidades (edX) More Info,https://www.mooc-list.com/course/la-reforma-energ%C3%A9tica-de-m%C3%A9xico-y-sus-oportunidades-edx https://www.mooc-list.com/course/la-reforma-energ%C3%A9tica-de-m%C3%A9xico-y-sus-oportunidades-edx,Tecnológico de Monterrey,EdX,Spanish,Explica los principales cambios y las oportunidades de nuevos negocios que facilita la reforma energética de México. ¿Sabías que la reforma energética en México es uno de los cambios más importantes que ha ocurrido en el país en los últimos 70 años? ¿Sabes cuál es el alcance de la reforma en la economía mexicana y cómo te impacta?,Feb 25th 2019,"Energy
,  Mexico
,  Renewable Energy
,  Energy Reform",,
Habilidades para el Empleo. ¡Marca la diferencia en tu carrera profesional!  (Miríada X) More Info,https://www.mooc-list.com/course/habilidades-para-el-empleo-%C2%A1marca-la-diferencia-en-tu-carrera-profesional-mir%C3%ADada-x https://www.mooc-list.com/course/habilidades-para-el-empleo-%C2%A1marca-la-diferencia-en-tu-carrera-profesional-mir%C3%ADada-x,Universitas Telefónica,Miríada X,Spanish,"Este curso está diseñado tanto para profesionales que busquen mejorar su perfil como candidatos en su búsqueda de empleo, o incluso para aquellos trabajadores en activo que deseen mejorar su desempeño a través del desarrollo de habilidades que denominamos ""transversales"". Se trata de aprender las destrezas necesarias aplicables a cualquier tipo de profesión y, en muchos casos, resultan ser el punto de diferenciación entre candidatos e incluso la clave de nuestros avances en nuestra carrera profesional. ¡Aprovecha la oportunidad!",Feb 25th 2019,"Job Skills
,  Employment
,  Employability
,  Job Search",,
Causes of Human Disease: Exploring Cancer and Genetic Disease (FutureLearn) More Info,https://www.mooc-list.com/course/causes-human-disease-exploring-cancer-and-genetic-disease-futurelearn https://www.mooc-list.com/course/causes-human-disease-exploring-cancer-and-genetic-disease-futurelearn,University of Leeds,FutureLearn,English,"Explore how the unravelling of genetic code has led to a deeper understanding of genetic diseases and cancer. It’s widely known that some diseases run in families. The discovery of the structure of DNA and the unravelling of the genetic code has led to a deeper understanding of such diseases. We now know more about the genetic basis of cancer and how cancer cells are formed and reproduce. On this course you’ll explore the structure of DNA, its processes and learn how genetic disease results from DNA alterations.",Feb 25th 2019,"Human Disease
,  Cancer
,  Genetic Disease
,  Gene
,  Genetics
,  DNA
,  DNA Structure
,  DNA Replication",,
Conceptos Básicos de Estática: Análisis de Cuerpos Rígidos (Miríada X) More Info,https://www.mooc-list.com/course/conceptos-basicos-de-estatica-analisis-de-cuerpos-rigidos-miriada-x https://www.mooc-list.com/course/conceptos-basicos-de-estatica-analisis-de-cuerpos-rigidos-miriada-x,Universidad EAFIT,Miríada X,Spanish,"La Estática es la conjunción de la Física y las Matemáticas para solucionar problemas de la naturaleza con base en ecuaciones simples. Es una parte de la Mecánica Clásica en lo que se refiere a los cuerpos indeformables que además carecen de movimiento espacial o que se mueven con velocidad constante. En el curso conceptos básicos de Estática: Análisis de Cuerpos Rígidos, el estudiante logrará: Determinar los momentos originados por fuerzas aplicadas en un cuerpo rígido, deducir a partir de un sistema de fuerzas el sistema equivalente fuerza momento, definir de una forma clara el diagrama de cuerpo libre de fuerzas y momentos aplicados en un cuerpo rígido, y analizar a partir de las leyes de Newton el equilibrio de fuerzas y momentos en un cuerpo rígido.",Feb 25th 2019,"Static
,  Physics
,  Math
,  Mathematics
,  Classical Mechanics",,
Introduction to Intercultural Studies: Language and Culture (FutureLearn) More Info,https://www.mooc-list.com/course/introduction-intercultural-studies-language-and-culture-futurelearn https://www.mooc-list.com/course/introduction-intercultural-studies-language-and-culture-futurelearn,University of Leeds,FutureLearn,English,"Explore intercultural communication by understanding the relationship between language and cultural identity. Examine the relationship between language, nationality and cultural identity. On this course you will analyse why language is a social construction and examine how it relates to cultural identity.",Feb 25th 2019,"Intercultural Studies
,  Language
,  Culture
,  Nation
,  Cultural Identity",,
Major Sport Events: Winning Through Diversity and Inclusion (FutureLearn) More Info,https://www.mooc-list.com/course/major-sport-events-winning-through-diversity-and-inclusion-futurelearn https://www.mooc-list.com/course/major-sport-events-winning-through-diversity-and-inclusion-futurelearn,Griffith University,FutureLearn,English,"Explore how athletes and para athletes prepare for major sport events, and how sport contributes to diversity and inclusion. Discover what it takes to compete at an international sports event. In this course you’ll learn how athletes and para athletes prepare for a major sporting event.",Feb 25th 2019,"Sports
,  Sports Events
,  Diversity
,  Inclusion
,  Sport Management",Average: 10,(1 vote)
Fashion and Sustainability: Understanding Luxury Fashion in a Changing World (FutureLearn) More Info,https://www.mooc-list.com/course/fashion-and-sustainability-understanding-luxury-fashion-changing-world-futurelearn https://www.mooc-list.com/course/fashion-and-sustainability-understanding-luxury-fashion-changing-world-futurelearn,"Kering,  London College of Fashion",FutureLearn,English,"Get an introduction to issues, agendas and contexts relating to fashion and sustainability in a changing world. How can we make fashion more sustainable? Fashion is a global industry worth $2.4 trillion, employing around 50 million people, and is said to be one of the world’s most polluting industries.",Feb 25th 2019,"Fashion
,  Sustainability
,  Luxury Fashion
,  Sustainable
,  Sustainable Fashion",,
The Science of Learning (FutureLearn) More Info,https://www.mooc-list.com/course/science-learning-futurelearn https://www.mooc-list.com/course/science-learning-futurelearn,National STEM Learning Centre,FutureLearn,English,"Discover the scientific research about learning and apply it in your classroom to help you teach STEM subjects. Improve your teaching by discussing the science of learning. What is learning? How does it work? On this course you try and answer these questions, exploring how you can use the science of learning to inform your teaching and support your students’ learning.",Feb 25th 2019,"Learning
,  STEM
,  Scientific Research
,  Teaching",,
Fortalecimiento efectivo y saludable de la musculatura abdominal y lumbar (Miríada X) More Info,https://www.mooc-list.com/course/fortalecimiento-efectivo-y-saludable-de-la-musculatura-abdominal-y-lumbar-miriada-x https://www.mooc-list.com/course/fortalecimiento-efectivo-y-saludable-de-la-musculatura-abdominal-y-lumbar-miriada-x,Universidad de Murcia,Miríada X,Spanish,"Para fortalecer la musculatura abdominal y lumbar de forma efectiva y saludable, es preciso seleccionar los ejercicios en función de las capacidades y motivaciones de cada persona. Conocer las características y efectos de cada ejercicio, permitirá elegir aquellos mas adecuados, así como evitar los más problemáticos. De este modo, podremos mejorar la salud de nuestra columna vertebral.",Feb 25th 2019,"Health
,  Abdominal Muscles
,  Lumbar Muscles
,  Physical Exercise
,  Muscle Strength",,
Practical Approaching to Computational Algebra (Computation with Python) (Miríada X) Mar 1st 2019 More Info,https://www.mooc-list.com/course/practical-approaching-computational-algebra-computation-python-miriada-x undefined https://www.mooc-list.com/course/practical-approaching-computational-algebra-computation-python-miriada-x,Universidad de Cádiz,Miríada X,"English,  Spanish","Introducimos el Álgebra Computacional desde un punto de vista práctico mostrando su aplicabilidad. Damos herramientas matemáticas para el estudio y resolución de sistemas polinomiales, y sistemas diofánticos con soluciones enteras positivas. / We introduce Computational Algebra from a practical point of view showing its applicability. We give mathematical tools for the study and resolution of polynomial systems, and diophantine systems with positive integer solutions.",Mar 1st 2019,"Computational Algebra,  Polynomial Systems,  Algorithms,  Python,  Programming",,
Fortalecimiento efectivo y saludable de la musculatura abdominal y lumbar (Miríada X) Feb 25th 2019 More Info,https://www.mooc-list.com/course/fortalecimiento-efectivo-y-saludable-de-la-musculatura-abdominal-y-lumbar-miriada-x undefined https://www.mooc-list.com/course/fortalecimiento-efectivo-y-saludable-de-la-musculatura-abdominal-y-lumbar-miriada-x,Universidad de Murcia,Miríada X,Spanish,"Para fortalecer la musculatura abdominal y lumbar de forma efectiva y saludable, es preciso seleccionar los ejercicios en función de las capacidades y motivaciones de cada persona. Conocer las características y efectos de cada ejercicio, permitirá elegir aquellos mas adecuados, así como evitar los más problemáticos. De este modo, podremos mejorar la salud de nuestra columna vertebral.",Feb 25th 2019,"Health,  Abdominal Muscles,  Lumbar Muscles,  Physical Exercise,  Muscle Strength",,
Reservoir Simulation (Miríada X) Feb 25th 2019 More Info,https://www.mooc-list.com/course/reservoir-simulation-miriada-x undefined https://www.mooc-list.com/course/reservoir-simulation-miriada-x,Universidad Politécnica de Madrid,Miríada X,English,"Oil and gas reservoir modelling needs two types of data. Those that permit to define the static model (core, well logs and seismic interpretation) and those that allow to define the dynamic model (pressure evolution, fluid production, boundary conditions). In this MOOC we will focus on the dynamic model.",Feb 25th 2019,"Reservoirs,  Oil Reservoirs,  Gas Reservoirs,  Dynamic Models",,
Habilidades para el Empleo. ¡Marca la diferencia en tu carrera profesional! (Miríada X) Feb 25th 2019 More Info,https://www.mooc-list.com/course/habilidades-para-el-empleo-%C2%A1marca-la-diferencia-en-tu-carrera-profesional-mir%C3%ADada-x undefined https://www.mooc-list.com/course/habilidades-para-el-empleo-%C2%A1marca-la-diferencia-en-tu-carrera-profesional-mir%C3%ADada-x,Universitas Telefónica,Miríada X,Spanish,"Este curso está diseñado tanto para profesionales que busquen mejorar su perfil como candidatos en su búsqueda de empleo, o incluso para aquellos trabajadores en activo que deseen mejorar su desempeño a través del desarrollo de habilidades que denominamos ""transversales"". Se trata de aprender las destrezas necesarias aplicables a cualquier tipo de profesión y, en muchos casos, resultan ser el punto de diferenciación entre candidatos e incluso la clave de nuestros avances en nuestra carrera profesional. ¡Aprovecha la oportunidad!",Feb 25th 2019,"Job Skills,  Employment,  Employability,  Job Search",,
Conceptos Básicos de Estática: Análisis de Cuerpos Rígidos (Miríada X) Feb 25th 2019 More Info,https://www.mooc-list.com/course/conceptos-basicos-de-estatica-analisis-de-cuerpos-rigidos-miriada-x undefined https://www.mooc-list.com/course/conceptos-basicos-de-estatica-analisis-de-cuerpos-rigidos-miriada-x,Universidad EAFIT,Miríada X,Spanish,"La Estática es la conjunción de la Física y las Matemáticas para solucionar problemas de la naturaleza con base en ecuaciones simples. Es una parte de la Mecánica Clásica en lo que se refiere a los cuerpos indeformables que además carecen de movimiento espacial o que se mueven con velocidad constante. En el curso conceptos básicos de Estática: Análisis de Cuerpos Rígidos, el estudiante logrará: Determinar los momentos originados por fuerzas aplicadas en un cuerpo rígido, deducir a partir de un sistema de fuerzas el sistema equivalente fuerza momento, definir de una forma clara el diagrama de cuerpo libre de fuerzas y momentos aplicados en un cuerpo rígido, y analizar a partir de las leyes de Newton el equilibrio de fuerzas y momentos en un cuerpo rígido.",Feb 25th 2019,"Static,  Physics,  Math,  Mathematics,  Classical Mechanics",,
M103: Basic Cluster Administration (MongoDB) Mar 12th 2019 More Info,https://www.mooc-list.com/course/m103-basic-cluster-administration-mongodb undefined https://www.mooc-list.com/course/m103-basic-cluster-administration-mongodb,MongoDB University,MongoDB,English,Learn the essentials of database administration in MongoDB. This course will provide you with the tools and insight to administer basic MongoDB deployments with confidence.,Mar 12th 2019,"MongoDB,  Replication,  Sharding,  Databases,  MongoDB Clusters",Average: 1,(3 votes)
M121: The MongoDB Aggregation Framework (MongoDB) Mar 12th 2019 More Info,https://www.mooc-list.com/course/m121-mongodb-aggregation-framework-mongodb undefined https://www.mooc-list.com/course/m121-mongodb-aggregation-framework-mongodb,MongoDB University,MongoDB,English,Learn how to use MongoDB's Aggregation Framework. This course will provide you with the knowledge to use MongoDB Aggregation Framework with confidence on your application development practices.,Mar 12th 2019,"MongoDB,  Aggregation Framework,  MongoDB Aggregation Framework,  Aggregation",Average: 2,(3 votes)
M201: MongoDB Performance (MongoDB) Mar 12th 2019 More Info,https://www.mooc-list.com/course/m201-mongodb-performance-mongodb undefined https://www.mooc-list.com/course/m201-mongodb-performance-mongodb,MongoDB University,MongoDB,English,Learn how to optimize the performance of your MongoDB deployment. This course will cover how to use best practices for achieving performance at scale in a MongoDB system.,Mar 12th 2019,"MongoDB,  MongoDB Performance,  MongoDB Deployments",Average: 5,(7 votes)
